PLAYER_NAME,TEAM,POSITION,PLAYER_STATUS,GP*,BYE,FANTASY_POINTS,PRESEASON_RANKING,ACTUAL_RANKING,%_ROSTERED,PASSING_YDS,PASSING_TD,PASSING_INT,RUSHING_ATT,RUSHING_YDS,RUSHING_TD,RECEPTIONS,RECEIVING_YDS,RECEIVING_TD,TARGETS,RET_TD,2PT_CONVERSIONS,FUMBLES_LOST
Rhamondre Stevenson,NE,RB,A,18,11,221.27,22,22,99%,0,0,0,255,1082,8.4,45.7,338,1.1,59.2,0,1.0,1.0
Garrett Wilson,NYJ,WR,A,18,7,220.62,18,18,100%,0,0,0,7.5,48.1,0,95.0,1259,7.4,140,0,0,1.1
Jaylen Waddle,Mia,WR,A,18,10,219.28,24,24,100%,0,0,0,7.5,43.9,0,88.8,1277,7.5,135,0,0,1.1
Najee Harris,Pit,RB,A,18,6,214.41,25,25,99%,0,0,0,276,1125,7.4,43.0,296,1.1,55.6,0,1.1,1.1
Jahmyr Gibbs,Det,RB,A,17,9,214.36,43,43,95%,0,0,0,171,786,5.6,67.3,512,3.2,84.5,0,0,1.1
Tee Higgins,Cin,WR,A,18,7,213.57,26,26,100%,0,0,0,1.1,5.6,0,90.6,1230,7.8,131,0,0,1.1
Kenneth Walker III,Sea,RB,A,18,5,213.34,32,32,99%,0,0,0,260,1176,8.6,29.6,224,1.1,38.3,0,1.1,1.1
DeVonta Smith,Phi,WR,A,18,10,212.34,27,27,99%,0,0,0,1.1,7.6,0,91.1,1226,7.6,135,0,0,1.1
DK Metcalf,Sea,WR,A,18,5,210.14,38,38,99%,0,0,0,3.4,21.4,0,88.9,1163,7.9,140,0,1.1,1.1
Chris Olave,NO,WR,Q,18,11,207.64,29,29,99%,0,0,0,1.1,5.3,0,85.7,1219,7.4,138,0,0,1.1
Amari Cooper,Cle,WR,A,18,5,204.69,39,39,97%,0,0,0,0,0,0,86.9,1159,7.9,135,0,0,1.1
Calvin Ridley,Jax,WR,A,18,9,204.18,52,52,96%,0,0,0,0,0,0,87.2,1153,7.5,135,0,1.1,1.1
DJ Moore,Chi,WR,A,18,13,203.99,53,53,96%,0,0,0,14.9,75.7,0,86.0,1123,6.9,138,0,1.1,1.1
Javonte Williams,Den,RB,Q,18,9,203.16,91,91,91%,0,0,0,240,1030,7.7,40.7,295,1.2,50.9,0,0,1.5
Dameon Pierce,Hou,RB,A,18,7,200.45,40,40,96%,0,0,0,275,1149,7.2,29.8,216,1.0,41.3,0,1.0,1.0
Alvin Kamara,NO,RB,A,18,11,200.29,79,79,95%,0,0,0,187,769,4.3,61.8,503,2.8,77.9,0,1.1,1.1
Keenan Allen,LAC,WR,A,18,5,199.66,46,46,97%,0,0,0,2.2,12.0,0,99.7,1114,6.6,142,0,0,1.1
J.K. Dobbins,Bal,RB,Q,18,13,199.09,34,34,98%,0,0,0,249,1190,7.5,23.7,182,0.8,30.5,0,1.1,1.0
Deebo Samuel,SF,WR,A,18,9,197.93,44,44,98%,0,0,0,38.8,212,2.2,73.3,966,5.4,110,0,0,1.1
Brandon Aiyuk,SF,WR,A,18,9,196.87,61,61,94%,0,0,0,7.8,43.6,0,78.2,1088,7.8,117,0,0,1.1
Joe Mixon,Cin,RB,A,18,7,195.73,49,49,97%,0,0,0,223,955,7.3,41.1,302,1.0,52,0,1.0,1.0
Jerry Jeudy,Den,WR,A,18,9,195.34,71,71,93%,0,0,0,5.3,30.7,0,81.6,1091,7.4,133,0,0,1.1
Cam Akers,LAR,RB,A,18,10,194.54,41,41,96%,0,0,0,262,1091,7.8,30.4,217,1.1,39.5,0,0,2.2
Michael Pittman Jr.,Ind,WR,Q,18,11,193.08,75,75,92%,0,0,0,6.9,34.6,0,97.9,1086,5.7,145,0,0,1.1
James Cook,Buf,RB,A,18,13,192.57,83,83,91%,0,0,0,237,1049,7.9,29.6,223,0.9,37.7,0,0,1.2
Mike Williams,LAC,WR,A,18,5,192.13,68,68,93%,0,0,0,1.1,7.7,0,73.7,1106,7.7,115,0,0,1.1
Tyler Lockett,Sea,WR,A,18,5,191.22,48,48,96%,0,0,0,1.1,9.6,0,78.3,1086,7.4,115,0,0,1.1
Chris Godwin,TB,WR,A,18,5,190.51,59,59,94%,0,0,0,2.1,11.8,0,96.5,1047,6.4,140,0,0,1.1
Terry McLaurin,Was,WR,A,18,14,188.87,51,51,96%,0,0,0,6.3,33.6,0,85.1,1136,5.2,135,0,0,1.0
Drake London,Atl,WR,A,18,11,187.62,55,55,94%,0,0,0,0,0,0,90.7,1068,6.3,136,0,0,1.0
Miles Sanders,Car,RB,A,18,7,186.11,36,36,98%,0,0,0,257,1097,6.1,28.4,213,1.1,39.5,0,0,1.0
Christian Kirk,Jax,WR,A,18,9,183.90,74,74,92%,0,0,0,3.2,21.6,0,83.0,1032,6.5,122,0,0,1.1
Isiah Pacheco,KC,RB,Q,18,10,181.79,60,60,95%,0,0,0,223,1005,7.8,24.4,190,0.9,31,0,0,1.1
