PLAYER_NAME,TEAM,POSITION,PLAYER_STATUS,GP*,BYE,FANTASY_POINTS,PRESEASON_RANKING,ACTUAL_RANKING,%_ROSTERED,PASSING_YDS,PASSING_TD,PASSING_INT,RUSHING_ATT,RUSHING_YDS,RUSHING_TD,RECEPTIONS,RECEIVING_YDS,RECEIVING_TD,TARGETS,RET_TD,2PT_CONVERSIONS,FUMBLES_LOST
Leonard Fournette,TB,RB,NA,18,5,89.58,147,147,31%,0,0,0,103,427,3.3,16.2,122,1.1,21.6,0,1.1,1.1
Irv Smith Jr.,Cin,TE,A,18,7,89.14,170,170,35%,0,0,0,0,0,0,42.9,428,4.1,62.8,0,0,0
Zach Ertz,Ari,TE,Q,18,14,88.47,182,182,17%,0,0,0,0,0,0,45.9,450,3.4,70,0,0,0
Kyren Williams,LAR,RB,A,18,10,88.10,283,283,4%,0,0,0,82.6,330,2.0,27.3,201,1.6,37.6,0,0,0
Chase Brown,Cin,RB,A,17,7,87.34,232,232,8%,0,0,0,91.8,402,3.3,17.2,140,1.1,22.1,0,0,1.1
Noah Fant,Sea,TE,A,18,5,87.19,205,205,10%,0,0,0,0,0,0,39.8,484,3.1,64.6,0,0,0
Joshua Palmer,LAC,WR,A,18,5,86.80,191,191,8%,0,0,0,1.1,7.6,0,37.1,479,3.3,53.9,0,0,0
Kareem Hunt,Cle,RB,NA,18,5,86.55,173,173,23%,0,0,0,97.2,399,3.0,19.4,153,1.0,25.2,0,0,1.0
Ronald Jones,Dal,RB,A,18,7,85.47,285,285,2%,0,0,0,111,487,3.8,11.0,85.4,0,14.4,0,0,0
Gus Edwards,Bal,RB,A,18,13,85.30,171,171,17%,0,0,0,113,523,3.5,9.9,69.6,0,12.6,0,0,0
Greg Dortch,Ari,WR,A,18,14,83.99,1738,1738,2%,0,0,0,2.7,13.2,0,43.8,448,2.7,64.6,0,0,0
Mike Gesicki,NE,TE,A,18,11,83.09,158,158,45%,0,0,0,0,0,0,40.3,434,3.3,62.8,0,0,0
Jerome Ford,Cle,RB,A,18,5,83.01,176,176,17%,0,0,0,87.9,392,2.9,17.9,134,1.0,21.6,0,0,0.9
Trey McBride,Ari,TE,A,18,14,82.52,169,169,16%,0,0,0,0,0,0,43.3,440,3.2,64.6,0,0,1.1
Hunter Henry,NE,TE,A,18,11,81.52,207,207,9%,0,0,0,0,0,0,37.6,436,3.2,59.2,0,0,0
Cade Otton,TB,TE,A,18,5,81.42,235,235,3%,0,0,0,0,0,0,39.6,429,3.1,61,0,0,0
Cordarrelle Patterson,Atl,RB,A,18,11,81.39,162,162,26%,0,0,0,88.6,381,2.2,14.7,107,1.2,18.5,1.2,0,1.1
Terrace Marshall Jr.,Car,WR,A,18,7,80.99,256,256,4%,0,0,0,0,0,0,33.9,450,3.2,58,0,0,0
Tim Patrick,Den,WR,A,18,9,80.41,223,223,6%,0,0,0,0,0,0,32.4,454,3.1,50.3,0,0,0
Juwan Johnson,NO,TE,A,18,11,79.05,164,164,34%,0,0,0,0,0,0,35.2,389,3.8,55.8,0,0,0
Jamal Agnew,Jax,WR,A,18,9,78.88,1744,1744,1%,0,0,0,17.4,95.5,1.1,29.3,286,2.2,39.5,1.1,0,0
Isaiah McKenzie,Ind,WR,A,18,11,76.15,278,278,2%,0,0,0,9.3,51.6,1.0,35.1,349,2.1,50.8,0,0,0
Latavius Murray,Buf,RB,A,17,13,74.76,325,325,3%,0,0,0,88.1,371,2.8,17.2,120,0,19.5,0,0,0
Nick Westbrook-Ikhine,Ten,WR,A,18,7,74.00,330,330,1%,0,0,0,0,0,0,31.6,416,2.8,56,0,0,0
Mack Hollins,Atl,WR,A,18,11,73.91,296,296,2%,0,0,0,0,0,0,32.5,388,3.1,53.8,0,0,0
Brock Purdy,SF,QB,Q,18,9,73.03,187,187,29%,1070,6.5,3.5,20.2,62.2,1.1,0,0,0,0,0,0.6,1.2
Quez Watkins,Phi,WR,A,18,10,72.03,320,320,1%,0,0,0,0,5.5,0,32.0,390,2.7,53.8,0,0,0
Noah Brown,Hou,WR,A,18,7,71.80,1720,1720,1%,0,0,0,0,0,0,33.5,397,2.6,57.2,0,0,0
Cedric Tillman,Cle,WR,A,17,5,71.14,307,307,2%,0,0,0,1.3,7.8,0,32.3,387,2.6,51.4,0,0,0
Jake Ferguson,Dal,TE,A,18,7,71.06,280,280,8%,0,0,0,0,0,0,33.2,347,3.3,46.7,0,0,0
Kendre Miller,NO,RB,NFI-A,17,11,70.58,129,129,52%,0,0,0,75.7,320,2.7,13.1,105,0.9,18.2,0,0,0
Tyler Conklin,NYJ,TE,A,18,7,70.23,193,193,12%,0,0,0,0,0,0,39.1,377,2.2,55.6,0,0,0
Joshua Kelley,LAC,RB,A,18,5,69.47,188,188,5%,0,0,0,84.8,356,3.4,11.2,79.9,0.0,14.3,0,0,0
Kenneth Gainwell,Phi,RB,A,18,10,68.65,127,127,37%,0,0,0,59.2,268,1.7,20.9,153,0.9,27.6,0,0,0
DeWayne McBride,Min,RB,A,17,13,67.27,2105,2105,3%,0,0,0,90.5,386,3.3,7.2,54.9,0.0,9.8,0,0,0
Zach Evans,LAR,RB,A,17,10,67.20,202,202,4%,0,0,0,85,341,2.2,12.9,92.6,0.7,17,0,0,0
Josh Reynolds,Det,WR,A,18,9,67.12,293,293,2%,0,0,0,1.4,7.1,0,28.6,351,2.8,46.6,0,0,0
Ray-Ray McCloud III,SF,WR,A,18,9,67.09,2097,2097,1%,0,0,0,4.0,23.9,0,29.9,305,2.0,44.9,1.2,0,0
Nyheim Hines,Buf,RB,A,18,13,66.55,275,275,3%,0,0,0,32.7,140,1.5,22.3,170,1.5,29,1.1,0,0
Deuce Vaughn,Dal,RB,A,17,7,66.22,2126,2126,4%,0,0,0,50.1,235,2.1,19.2,146,1.0,23.8,0,0,0
Tyjae Spears,Ten,RB,A,17,7,64.66,239,239,6%,0,0,0,71.4,298,1.9,15.5,112,0.7,20.4,0,0,0
Pierre Strong Jr.,NE,RB,A,18,11,64.38,219,219,4%,0,0,0,73.5,307,2.5,12.5,93.9,0.8,16.6,0,0,0.8
Roschon Johnson,Chi,RB,A,17,13,63.52,181,181,24%,0,0,0,69.9,290,2.5,13.5,100,0.7,18,0,0,0.8
Luke Musgrave,GB,TE,A,17,6,63.14,208,208,7%,0,0,0,0,0,0,31.6,328,2.4,45.1,0,0,0
Kayshon Boutte,NE,WR,A,17,11,62.88,1963,1963,1%,0,0,0,2.7,5.3,0,29.3,317,2.7,45.9,0,0,0
Jauan Jennings,SF,WR,A,18,9,61.83,1749,1749,1%,0,0,0,0,0,0,31.1,334,2.1,50.3,0,0,0
Keaontay Ingram,Ari,RB,A,18,14,59.33,2276,2276,2%,0,0,0,75.4,302,1.7,11.2,81.9,0.8,14.3,0,0,0
Israel Abanikanda,NYJ,RB,A,17,7,58.72,324,324,3%,0,0,0,69.7,300,2.9,9.1,68.5,0.0,11.9,0,0,0
Tutu Atwell,LAR,WR,A,18,10,58.68,266,266,1%,0,0,0,3.1,16.7,0,23.9,326,2.1,41.3,0,0,0
Eric Gray,NYG,RB,A,17,13,58.51,2169,2169,3%,0,0,0,79.4,329,2.0,11.4,81.5,0.0,15.3,0,0,0
Taysom Hill,NO,TE,A,18,11,58.44,201,201,40%,85.4,0.7,0.7,54.3,249,2.8,5.0,49.3,0.7,7.8,0,0.7,0.7
Trent Sherfield,Buf,WR,A,18,13,57.86,1860,1860,1%,0,0,0,3.4,10.3,0,29.0,319,1.7,44.9,0,0,0
Zamir White,LV,RB,A,18,13,57.35,179,179,12%,0,0,0,82.4,334,2.6,7.0,49.0,0,9.2,0,0,0
Ben Skowronek,LAR,WR,Q,18,10,57.13,1757,1757,1%,0,0,0,2.1,9.3,0,27.9,299,2.1,43.1,0,0,0
Foster Moreau,NO,TE,A,17,11,57.05,356,356,1%,0,0,0,0,0,0,29.5,282,2.3,43.6,0,0,0
Jamison Crowder,NYG,WR,A,18,13,56.36,2081,2081,0%,0,0,0,0,0,0,28.9,309,1.8,42.1,0,0,0
Darnell Washington,Pit,TE,A,17,6,56.27,322,322,2%,0,0,0,0,0,0,27.4,282,2.4,39.3,0,0,0
Olamide Zaccheaus,Phi,WR,A,18,10,56.20,1721,1721,1%,0,0,0,2.2,6.8,0,25.0,295,2.3,39.5,0,0,0
Devin Duvernay,Bal,WR,A,18,13,56.07,312,312,3%,0,0,0,7.8,44.0,0,23.6,267,1.6,38.7,1.1,0,1.5
Xavier Hutchinson,Hou,WR,A,17,7,55.91,1978,1978,1%,0,0,0,1.0,7.8,0,24.3,313,1.9,44.2,0,0,0
Luke Schoonmaker,Dal,TE,Q,17,7,54.70,1824,1824,2%,0,0,0,0,0,0,26.7,267,2.4,41.9,0,0,0
Demarcus Robinson,LAR,WR,A,17,10,53.89,-,-,0%,0,0,0,0,0,0,25.9,290,2.0,47.6,0,0,0
Danny Gray,SF,WR,A,18,9,53.65,2292,2292,0%,0,0,0,1.9,5.8,0,23.1,299,1.9,37.6,0,0,0
Chase Edmonds,TB,RB,A,18,5,53.57,211,211,3%,0,0,0,49.1,193,2.1,13.0,92.8,1.0,16.4,0,0,0
Pharaoh Brown,Ind,TE,A,18,11,52.93,1879,1879,0%,0,0,0,0,0,0,26.5,257,2.3,39.5,0,0,0
KJ Hamler,Den,WR,Q,18,9,52.67,314,314,1%,0,0,0,0,0,0,21.1,295,2.1,38,0,0,0
Nelson Agholor,Bal,WR,A,18,13,52.61,1746,1746,1%,0,0,0,1.6,18.4,0,22.9,298,1.6,40.7,0,0,0
Austin Hooper,LV,TE,A,18,13,52.49,302,302,2%,0,0,0,0,0,0,27.7,272,1.9,38.7,0,0,0
Sterling Shepard,NYG,WR,Q,18,13,52.11,289,289,1%,0,0,0,0,0,0,25.8,269,2.1,39.5,0,0,0
Jalen Guyton,LAC,WR,Q,18,5,51.40,1875,1875,0%,0,0,0,1.1,6.4,0,19.2,284,2.1,30.5,0,0,0
Parker Washington,Jax,WR,A,17,9,51.27,2026,2026,0%,0,0,0,2.0,4.0,0,22.2,276,2.0,35.7,0,0,0
Jelani Woods,Ind,TE,Q,18,11,51.23,210,210,6%,0,0,0,0,0,0,24.2,270,2.0,37.6,0,0,0
Hassan Haskins,Ten,RB,A,18,7,50.81,284,284,1%,0,0,0,59.1,243,2.1,10.6,82.9,0.0,13,0,0,0
Sean Tucker,TB,RB,Q,17,5,50.68,225,225,1%,0,0,0,64.6,255,2.0,11.2,78.3,0,13.6,0,0,0
Mo Alie-Cox,Ind,TE,A,18,11,50.09,1734,1734,0%,0,0,0,0,0,0,22.1,251,2.3,32.3,0,0,0
JaMycal Hasty,Jax,RB,A,18,9,49.37,287,287,1%,0,0,0,40.7,173,1.6,18.0,136,0,21.5,0,0,0
Noah Gray,KC,TE,A,18,10,49.03,1739,1739,1%,0,0,0,0,0,0,23.8,235,2.3,32.3,0,0,0
Zack Moss,Ind,RB,A,18,11,49.00,243,243,2%,0,0,0,62.2,256,2.3,7.5,57.9,0.0,9.4,0,0,0
C.J. Uzomah,NYJ,TE,PUP-P,18,7,48.88,1714,1714,1%,0,0,0,0,0,0,23.6,242,2.1,35.9,0,0,0
D'Ernest Johnson,Jax,RB,A,18,9,48.04,236,236,1%,0,0,0,50.2,217,2.2,10.7,79.0,0.0,12.6,0,0,0
Matt Breida,NYG,RB,A,18,13,47.82,308,308,3%,0,0,0,54.7,236,2.0,9.3,72.3,0.0,12.5,0,0,0
Daniel Bellinger,NYG,TE,A,18,13,47.53,345,345,2%,0,0,0,0,0,0,24.9,260,1.5,37,0,0,0
Chris Moore,Ten,WR,A,18,7,47.49,1702,1702,1%,0,0,0,2.0,13.8,0,21.7,233,2.0,32.3,0,0,0
Zonovan Knight,NYJ,RB,Q,18,7,47.47,242,242,3%,0,0,0,58.1,245,2.3,7.2,53.7,0.0,9.4,0,0,0
Jody Fortson,KC,TE,A,18,10,46.63,1741,1741,0%,0,0,0,0,0,0,21.3,225,2.2,28.7,0,0,0
Randall Cobb,NYJ,WR,PUP-P,17,7,46.39,1716,1716,1%,0,0,0,1.5,4.6,0,24.1,246,1.5,35.7,0,0,0
Tommy Tremble,Car,TE,A,18,7,46.17,1747,1747,0%,0,0,0,0,0,0,22.6,225,2.1,37.7,0,0,0
Michael Wilson,Ari,WR,A,17,14,45.97,1979,1979,2%,0,0,0,0,0,0,22.0,248,1.7,35.7,0,0,0
Tucker Kraft,GB,TE,A,17,6,45.63,1769,1769,1%,0,0,0,0,0,0,21.0,232,2.0,32.3,0,0,0
Peyton Hendershot,Dal,TE,A,18,7,45.59,1740,1740,0%,0,0,0,0,0,0,22.7,218,2.1,33.5,0,0,0
DeAndre Carter,LV,WR,A,18,13,45.04,1727,1727,1%,0,0,0,4.1,27.0,0,17.5,189,1.3,28.8,1.1,0,0
Albert Okwuegbunam,Den,TE,A,18,9,45.02,317,317,1%,0,0,0,0,0,0,23.8,245,1.4,32.3,0,0,0
Corey Clement,Ari,RB,A,17,14,44.87,1859,1859,0%,0,0,0,61.2,240,1.9,7.7,56.1,0,10.2,0,0,0
